saguaro_number,date,buds,flowers,green_fruit,red_fruit
13,2017-04-19,25,0,0,0
13,2017-04-20,29,0,0,0
13,2017-04-24,38,1,0,0
13,2017-04-25,43,0,1,0
13,2017-04-28,50,2,1,0
13,2017-04-29,53,0,1,0
13,2017-05-01,52,0,2,0
13,2017-05-02,44,0,2,0
13,2017-05-03,50,0,1,0
13,2017-05-09,43,0,3,0
13,2017-05-10,45,1,4,0
13,2017-05-11,43,0,5,0
13,2017-05-12,40,0,4,0
13,2017-05-13,40,2,3,0
13,2017-05-15,36,3,4,0
13,2017-05-16,41,1,3,0
13,2017-05-17,36,2,2,0
13,2017-05-18,35,0,7,0
13,2017-05-19,27,2,6,0
13,2017-05-20,25,3,7,0
13,2017-05-23,19,6,10,0
13,2017-05-24,19,5,13,0
13,2017-05-25,11,4,17,0
13,2017-05-26,12,1,17,0
13,2017-05-27,8,4,16,0
13,2017-05-29,8,0,22,0
13,2017-06-01,0,0,20,0
13,2017-06-02,1,0,19,0
13,2017-06-03,0,0,25,0
13,2017-06-06,0,0,23,0
13,2017-06-07,0,0,24,0
13,2017-06-08,0,0,24,0
13,2017-06-09,0,0,23,0
13,2017-06-10,0,0,23,0
13,2017-06-12,0,0,23,0
13,2017-06-13,1,0,17,3
13,2017-06-14,1,0,22,0
13,2017-06-15,0,0,22,0
13,2017-06-16,3,0,22,0
13,2017-06-17,0,0,18,0
13,2017-06-19,1,0,21,3
13,2017-06-20,3,0,19,6
13,2017-06-21,1,0,17,2
13,2017-06-22,3,0,15,10
13,2017-06-23,1,0,10,5
13,2017-06-24,3,0,10,5
13,2017-06-26,1,1,6,5
13,2017-06-27,2,0,7,7
13,2017-06-28,0,0,9,9
13,2017-06-29,1,1,4,5
13,2017-07-06,0,0,0,0
13,2017-07-08,0,0,0,0
13,2017-07-12,0,0,0,0
13,2017-07-14,0,0,0,0
13,2018-03-06,23,0,0,0
13,2018-03-07,37,0,0,0
13,2018-03-08,40,0,0,0
13,2018-03-11,40,0,0,0
13,2018-03-12,47,0,0,0
13,2018-03-13,61,0,0,0
13,2018-03-14,52,0,0,0
13,2018-03-15,64,0,0,0
13,2018-03-16,62,0,0,0
13,2018-03-18,64,0,0,0
13,2018-03-19,64,0,1,0
13,2018-03-20,68,0,0,0
13,2018-03-21,67,0,1,0
13,2018-03-22,63,0,0,0
13,2018-03-23,59,2,0,0
13,2018-03-25,58,0,0,0
13,2018-03-26,56,4,1,0
13,2018-03-27,60,3,0,0
13,2018-03-28,64,2,1,0
13,2018-03-29,55,0,6,0
13,2018-03-30,45,5,3,0
13,2018-04-01,29,9,8,0
13,2018-04-02,42,6,8,0
