saguaro_number,date,buds,flowers,green_fruit,red_fruit
10,2017-04-19,0,0,0,0
10,2017-04-20,0,0,0,0
10,2017-04-24,0,0,0,0
10,2017-04-25,0,0,0,0
10,2017-04-28,5,0,0,0
10,2017-04-29,4,0,0,0
10,2017-05-01,7,0,0,0
10,2017-05-02,4,0,0,0
10,2017-05-03,7,0,0,0
10,2017-05-09,11,0,0,0
10,2017-05-10,15,0,0,0
10,2017-05-11,22,0,0,0
10,2017-05-12,23,0,0,0
10,2017-05-13,23,0,0,0
10,2017-05-15,26,0,0,0
10,2017-05-16,25,0,0,0
10,2017-05-17,25,1,0,0
10,2017-05-18,25,1,0,0
10,2017-05-19,21,1,0,0
10,2017-05-20,21,0,0,0
10,2017-05-23,17,1,3,0
10,2017-05-24,16,1,3,0
10,2017-05-25,14,1,3,0
10,2017-05-26,10,3,4,0
10,2017-05-27,12,4,2,0
10,2017-05-29,10,3,3,0
10,2017-06-01,4,0,8,0
10,2017-06-02,1,0,8,0
10,2017-06-03,0,0,9,0
10,2017-06-06,0,0,6,0
10,2017-06-07,0,0,7,0
10,2017-06-08,0,0,7,0
10,2017-06-09,0,0,7,0
10,2017-06-10,0,0,7,0
10,2017-06-12,0,0,9,0
10,2017-06-13,0,0,7,0
10,2017-06-14,0,0,8,0
10,2017-06-15,0,0,8,0
10,2017-06-16,0,0,9,0
10,2017-06-17,0,0,8,0
10,2017-06-19,0,0,7,0
10,2017-06-20,0,0,9,0
10,2017-06-21,0,0,7,0
10,2017-06-22,0,0,8,0
10,2017-06-23,0,0,8,0
10,2017-06-24,0,0,7,1
10,2017-06-26,1,0,6,2
10,2017-06-27,0,0,5,1
10,2017-06-28,0,0,5,2
10,2017-06-29,0,0,4,0
10,2017-07-06,0,0,0,0
10,2017-07-08,0,0,0,0
10,2017-07-12,0,0,0,0
10,2017-07-14,0,0,0,0
10,2018-03-06,0,0,0,0
10,2018-03-07,0,0,0,0
10,2018-03-08,0,0,0,0
10,2018-03-11,0,0,0,0
10,2018-03-12,0,0,0,0
10,2018-03-13,0,0,0,0
10,2018-03-14,0,0,0,0
10,2018-03-15,0,0,0,0
10,2018-03-16,0,0,0,0
10,2018-03-18,0,0,0,0
10,2018-03-19,0,0,0,0
10,2018-03-20,0,0,0,0
10,2018-03-21,0,0,0,0
10,2018-03-22,0,0,0,0
10,2018-03-23,0,0,0,0
10,2018-03-25,1,0,0,0
10,2018-03-26,0,0,0,0
10,2018-03-27,3,0,0,0
10,2018-03-28,7,0,0,0
10,2018-03-29,8,0,0,0
10,2018-03-30,6,0,0,0
10,2018-04-01,7,0,0,0
10,2018-04-02,11,0,0,0
10,2018-04-03,12,0,0,0
10,2018-04-04,11,0,0,0
10,2018-04-05,23,0,0,0
10,2018-04-08,21,0,0,0
10,2018-04-09,20,0,0,0
10,2018-04-10,22,2,0,0
10,2018-04-11,26,0,0,0
10,2018-04-12,30,0,0,0
10,2018-04-13,34,0,0,0
10,2018-04-15,34,3,0,0
10,2018-05-16,37,0,0,0
10,2018-05-17,38,1,0,0
10,2018-05-18,21,6,0,0
10,2018-05-19,35,2,0,0
10,2018-05-21,27,1,3,0
10,2018-05-22,29,2,4,0
10,2018-05-23,23,2,5,0
10,2018-05-24,20,2,5,0
10,2018-05-25,23,0,6,0
10,2018-05-26,22,0,7,0
10,2018-05-28,16,4,9,0
10,2018-05-29,14,2,10,0
10,2018-05-30,10,5,6,0
10,2018-05-31,10,0,0,0
10,2018-06-01,10,2,9,0
10,2018-06-02,5,1,13,0
10,2018-06-04,3,1,17,0
10,2018-06-05,1,2,13,0
10,2018-06-06,1,0,21,0
10,2018-06-07,0,0,19,0
10,2018-06-08,0,0,20,0
10,2018-06-11,0,0,15,0
10,2018-06-12,0,0,16,0
10,2018-06-13,0,0,18,0
10,2018-06-14,0,0,16,0
10,2018-06-15,0,0,17,0
10,2018-06-16,0,0,17,0
10,2018-06-18,0,0,16,0
10,2018-06-19,0,0,16,1
10,2018-06-20,0,0,15,0
10,2018-06-21,0,0,19,2
10,2018-06-22,0,0,14,2
10,2018-06-23,0,0,14,2
10,2018-06-25,0,0,12,1
10,2018-06-26,0,0,11,2
10,2018-06-27,0,0,10,4
