saguaro_number,date,buds,flowers,green_fruit,red_fruit
48,2017-04-18,19,0,1,0
48,2017-04-19,23,0,0,0
48,2017-04-20,19,0,1,0
48,2017-04-21,27,0,0,0
48,2017-04-24,31,0,0,0
48,2017-04-25,38,0,0,0
48,2017-04-28,48,0,0,0
48,2017-04-29,45,0,0,0
48,2017-05-01,44,1,0,0
48,2017-05-02,6,0,0,0
48,2017-05-03,45,0,1,0
48,2017-05-04,47,1,3,0
48,2017-05-05,46,0,2,0
48,2017-05-08,36,4,1,0
48,2017-05-09,40,1,1,0
48,2017-05-10,38,2,1,0
48,2017-05-11,31,1,1,0
48,2017-05-12,39,2,6,0
48,2017-05-15,37,3,3,0
48,2017-05-16,34,3,4,0
48,2017-05-17,31,3,1,0
48,2017-05-18,32,3,6,0
48,2017-05-19,30,2,6,0
48,2017-05-20,23,7,11,0
48,2017-05-23,15,5,15,0
48,2017-05-24,17,4,19,0
48,2017-05-25,9,3,22,0
48,2017-05-26,9,5,23,0
48,2017-05-27,7,1,25,0
48,2017-05-29,2,1,35,0
48,2017-06-01,1,1,36,0
48,2017-06-02,1,0,37,0
48,2017-06-03,0,0,36,0
48,2017-06-05,0,0,35,1
48,2017-06-06,0,0,36,0
48,2017-06-07,0,0,35,0
48,2017-06-08,0,0,35,0
48,2017-06-09,0,0,35,0
48,2017-06-10,0,0,35,0
48,2017-06-12,0,0,34,0
48,2017-06-13,1,0,32,0
48,2017-06-14,0,0,34,1
48,2017-06-15,0,0,31,0
48,2017-06-16,1,0,28,0
48,2017-06-17,0,0,31,0
48,2017-06-19,0,0,28,0
48,2017-06-20,0,0,26,1
48,2017-06-21,0,0,20,4
48,2017-06-22,0,0,20,1
48,2017-06-23,1,0,18,2
48,2017-06-24,1,0,13,4
48,2017-06-26,1,0,10,6
48,2017-06-27,1,0,6,4
48,2017-06-28,0,0,5,2
48,2017-06-29,1,0,6,0
48,2017-07-01,0,0,1,2
48,2017-07-06,0,0,0,1
48,2017-07-08,0,0,0,0
48,2017-07-10,0,0,0,0
48,2017-07-12,0,0,0,0
48,2017-07-14,0,0,0,0
48,2018-03-06,0,0,0,0
48,2018-03-07,0,0,0,0
48,2018-03-08,0,0,0,0
48,2018-03-11,0,0,0,0
48,2018-03-12,0,0,0,0
