saguaro_number,date,buds,flowers,green_fruit,red_fruit
30,2018-03-06,0,0,0,0
30,2018-03-07,0,0,0,0
30,2018-03-08,0,0,0,0
30,2018-03-11,0,0,0,0
30,2018-03-12,5,0,0,0
30,2018-03-13,0,0,0,0
30,2018-03-14,0,0,0,0
30,2018-03-15,0,0,0,0
30,2018-03-16,0,0,0,0
30,2018-03-18,0,0,0,0
30,2018-03-19,0,0,0,0
30,2018-03-20,0,0,0,0
30,2018-03-21,0,0,0,0
30,2018-03-22,0,0,0,0
30,2018-03-23,0,0,0,0
30,2018-03-25,0,0,0,0
30,2018-03-26,0,0,0,0
30,2018-03-27,0,0,0,0
30,2018-03-28,0,0,1,0
30,2018-03-29,1,0,0,0
30,2018-03-30,4,0,0,0
30,2018-04-01,8,0,0,0
30,2018-04-02,14,0,0,0
30,2018-04-03,13,0,0,0
30,2018-04-04,24,0,0,0
30,2018-04-05,14,0,0,0
30,2018-04-08,39,0,0,0
30,2018-04-09,38,0,0,0
30,2018-04-10,41,0,0,0
30,2018-04-11,38,0,0,0
30,2018-04-12,27,0,0,0
30,2018-04-13,37,4,0,0
30,2018-04-15,47,2,0,0
30,2018-05-16,39,2,1,0
30,2018-05-17,27,8,0,0
30,2018-05-18,29,5,0,0
30,2018-05-19,25,3,2,0
30,2018-05-21,23,0,4,0
30,2018-05-22,17,2,8,0
30,2018-05-23,19,2,4,0
30,2018-05-24,20,5,3,0
30,2018-05-25,17,2,4,0
30,2018-05-26,15,1,10,0
30,2018-05-28,11,1,6,0
30,2018-05-29,12,0,9,0
30,2018-05-30,3,0,11,0
30,2018-05-31,3,0,12,1
30,2018-06-01,0,0,13,0
30,2018-06-02,0,0,14,0
30,2018-06-04,0,0,12,4
30,2018-06-05,0,0,13,0
30,2018-06-06,1,0,14,0
30,2018-06-07,0,0,12,0
30,2018-06-08,0,0,12,0
30,2018-06-11,0,0,12,0
30,2018-06-12,0,0,11,0
30,2018-06-13,0,0,10,0
30,2018-06-14,0,0,14,0
30,2018-06-15,0,0,10,0
30,2018-06-16,0,0,12,0
30,2018-06-18,0,0,14,0
30,2018-06-19,0,0,12,0
30,2018-06-20,0,0,11,0
30,2018-06-21,1,0,11,0
30,2018-06-22,0,0,12,0
30,2018-06-23,2,0,9,3
30,2018-06-25,0,0,8,2
30,2018-06-26,0,0,6,1
30,2018-06-27,0,0,6,1
30,2018-06-28,0,0,5,5
30,2018-06-29,0,0,1,5
30,2018-06-30,1,0,1,6
30,2018-07-02,2,0,0,1
30,2018-07-03,0,0,0,1
30,2018-07-05,1,0,0,0
30,2018-07-06,0,0,0,0
30,2018-07-07,0,0,0,0
30,2018-07-09,1,0,0,0
30,2018-07-10,2,0,0,0
30,2018-07-11,5,0,0,0
