saguaro_number,date,buds,flowers,green_fruit,red_fruit
11,2017-04-19,18,0,0,0
11,2017-04-20,14,1,0,0
11,2017-04-24,18,0,1,0
11,2017-04-25,16,0,1,0
11,2017-04-28,23,0,1,0
11,2017-04-29,15,1,0,0
11,2017-05-01,10,1,1,0
11,2017-05-02,17,1,1,0
11,2017-05-03,14,0,1,0
11,2017-05-06,51,0,2,0
11,2017-05-09,16,0,1,0
11,2017-05-10,15,0,1,0
11,2017-05-11,16,2,1,0
11,2017-05-12,16,0,0,0
11,2017-05-13,14,1,0,0
11,2017-05-15,12,3,0,0
11,2017-05-16,8,5,1,0
11,2017-05-17,24,1,0,0
11,2017-05-18,10,1,0,0
11,2017-05-19,0,0,0,0
11,2017-05-20,7,2,2,0
11,2017-05-23,2,2,3,0
11,2017-05-24,3,0,2,0
11,2017-05-25,3,0,5,0
11,2017-05-26,3,1,5,0
11,2017-05-27,5,0,3,0
11,2017-05-29,6,1,5,0
11,2017-06-01,5,0,5,0
11,2017-06-02,6,0,6,0
11,2017-06-03,10,0,5,0
11,2017-06-06,10,0,5,0
11,2017-06-07,9,3,2,0
11,2017-06-08,9,1,5,0
11,2017-06-09,9,2,3,0
11,2017-06-10,6,2,3,0
11,2017-06-12,7,2,2,0
11,2017-06-13,5,2,5,0
11,2017-06-14,2,0,7,0
11,2017-06-15,2,0,8,0
11,2017-06-16,2,0,7,1
11,2017-06-17,1,1,6,1
11,2017-06-19,1,0,8,1
11,2017-06-20,1,0,7,1
11,2017-06-21,1,0,5,1
11,2017-06-22,1,0,6,1
11,2017-06-23,1,0,5,0
11,2017-06-24,1,1,5,0
11,2017-06-26,0,0,5,0
11,2017-06-27,0,0,5,0
11,2017-06-28,0,0,4,0
11,2017-06-29,1,0,5,0
11,2017-07-06,0,0,4,0
11,2017-07-08,0,0,4,1
11,2017-07-12,0,0,1,1
11,2017-07-14,1,0,0,0
11,2018-03-06,0,0,0,0
11,2018-03-07,0,0,0,0
11,2018-03-08,0,0,0,0
11,2018-03-11,3,0,0,0
11,2018-03-12,7,0,0,0
11,2018-03-13,20,0,0,0
11,2018-03-14,0,0,0,0
11,2018-03-15,21,0,0,0
11,2018-03-16,23,0,0,0
11,2018-03-18,30,0,0,0
11,2018-03-19,30,0,0,0
11,2018-03-20,44,0,0,0
11,2018-03-21,35,0,0,0
11,2018-03-22,37,0,0,0
11,2018-03-23,35,0,0,0
11,2018-03-25,33,0,0,0
11,2018-03-26,1,0,0,0
11,2018-03-27,34,0,1,0
11,2018-03-28,35,0,0,0
11,2018-03-29,34,0,0,0
11,2018-03-30,30,0,0,0
11,2018-04-01,30,0,0,0
11,2018-04-02,30,0,0,0
11,2018-04-03,32,2,0,0
11,2018-04-04,27,2,1,0
11,2018-04-05,27,0,0,0
11,2018-04-08,25,3,1,0
11,2018-04-09,21,6,1,0
11,2018-04-10,19,3,1,0
11,2018-04-11,28,3,1,0
11,2018-04-12,30,0,1,0
11,2018-04-13,29,0,2,0
11,2018-04-15,26,2,0,0
11,2018-05-16,27,5,0,0
11,2018-05-17,28,0,3,0
11,2018-05-18,22,2,1,0
11,2018-05-19,26,0,0,0
11,2018-05-21,26,0,1,0
11,2018-05-22,21,5,1,0
11,2018-05-23,14,11,1,0
11,2018-05-24,16,2,1,0
11,2018-05-25,17,2,4,0
11,2018-05-26,9,4,11,0
11,2018-05-28,1,4,9,0
11,2018-05-29,6,1,19,0
11,2018-05-30,1,0,24,0
11,2018-05-31,1,0,21,0
11,2018-06-01,1,0,15,0
11,2018-06-02,0,0,20,0
11,2018-06-04,0,0,21,0
11,2018-06-05,1,0,16,0
11,2018-06-06,0,0,17,2
11,2018-06-07,0,0,19,0
11,2018-06-08,4,0,14,3
11,2018-06-11,5,0,9,0
11,2018-06-12,1,0,9,0
11,2018-06-13,0,0,11,1
11,2018-06-14,0,0,13,0
11,2018-06-15,3,0,7,0
11,2018-06-16,0,0,10,0
11,2018-06-18,0,0,9,0
11,2018-06-19,0,0,10,0
11,2018-06-20,1,0,9,0
11,2018-06-21,0,0,9,0
11,2018-06-22,0,0,10,1
11,2018-06-23,0,0,4,1
11,2018-06-25,0,0,1,1
11,2018-06-26,0,0,2,0
11,2018-06-27,0,0,0,1
11,2018-06-28,0,0,0,0
11,2018-06-29,0,0,2,0
11,2018-06-30,0,0,0,0
11,2018-07-02,0,0,0,0
11,2018-07-03,0,0,0,0
11,2018-07-05,0,0,0,0
11,2018-07-06,1,0,0,0
11,2018-07-07,0,0,1,0
11,2018-07-09,0,0,0,0
11,2018-07-10,0,0,0,0
11,2018-07-11,0,0,0,0
11,2018-07-12,0,0,0,0
11,2018-07-16,0,0,0,0
11,2018-07-17,0,0,0,0
11,2018-07-23,0,0,0,0
11,2019-04-09,0,0,0,0
11,2019-04-10,0,0,0,0
11,2019-04-11,0,1,0,0
11,2019-04-12,0,0,0,0
11,2019-04-13,0,0,0,0
11,2019-04-15,0,0,0,0
11,2019-04-16,0,0,0,0
11,2019-04-18,0,0,0,0
11,2019-04-19,0,0,0,0
11,2019-04-20,0,0,0,0
11,2019-04-22,0,0,0,0
11,2019-04-25,0,0,0,0
11,2019-04-26,0,0,0,0
11,2019-04-27,0,0,0,0
11,2019-04-29,0,0,0,0
11,2019-04-30,0,0,0,0
11,2019-05-02,0,0,0,0
