saguaro_number,date,buds,flowers,green_fruit,red_fruit
53,2017-04-18,0,0,0,0
53,2017-04-19,0,0,0,0
53,2017-04-20,0,0,0,0
53,2017-04-21,0,0,0,0
53,2017-04-24,0,0,0,0
53,2017-04-25,0,0,0,0
53,2017-04-28,0,0,0,0
53,2017-04-29,0,0,0,0
53,2017-05-01,0,0,0,0
53,2017-05-02,0,0,0,0
53,2017-05-03,0,0,0,0
53,2017-05-04,1,0,0,0
53,2017-05-05,6,0,0,0
53,2017-05-06,9,0,0,0
53,2017-05-08,9,0,0,0
53,2017-05-09,8,0,0,0
53,2017-05-10,7,0,0,0
53,2017-05-11,11,0,0,0
53,2017-05-12,10,0,0,0
53,2017-05-13,11,0,0,0
53,2017-05-15,13,0,0,0
53,2017-05-16,18,0,0,0
53,2017-05-17,16,0,0,0
53,2017-05-18,17,1,0,0
53,2017-05-19,20,0,0,0
53,2017-05-20,20,0,0,0
53,2017-05-23,30,1,1,0
53,2017-05-24,26,4,1,0
53,2017-05-25,30,2,2,0
53,2017-05-26,26,5,2,0
53,2017-05-27,22,3,2,0
53,2017-05-29,28,1,6,0
53,2017-06-01,27,3,8,0
53,2017-06-02,18,4,9,0
53,2017-06-03,13,4,12,0
53,2017-06-05,13,3,13,0
53,2017-06-06,12,0,23,0
53,2017-06-07,8,1,25,0
53,2017-06-08,6,1,19,0
53,2017-06-09,5,3,22,0
53,2017-06-10,2,0,1,0
53,2017-06-12,3,3,21,0
53,2017-06-13,4,0,20,0
53,2017-06-14,1,1,19,0
53,2017-06-15,3,2,19,0
53,2017-06-16,3,1,24,0
53,2017-06-17,3,0,24,0
53,2017-06-19,2,1,24,0
53,2017-06-20,2,0,24,0
53,2017-06-21,2,1,20,0
53,2017-06-22,1,0,26,1
53,2017-06-23,2,1,20,1
53,2017-06-24,0,1,24,2
53,2017-06-26,0,0,19,2
53,2017-06-27,1,0,16,3
53,2017-06-28,0,0,15,6
53,2017-06-29,0,0,13,10
53,2017-07-01,0,0,9,5
53,2017-07-06,0,0,1,4
53,2017-07-08,0,0,3,0
53,2017-07-10,0,0,3,0
53,2017-07-12,0,0,2,1
53,2017-07-14,0,0,1,0
53,2018-03-06,0,0,0,0
53,2018-03-07,0,0,0,0
53,2018-03-08,0,0,0,0
53,2018-03-11,0,0,0,0
53,2018-03-12,0,0,0,0
53,2018-03-14,0,0,0,0
53,2018-03-15,0,0,0,0
53,2018-03-16,0,0,0,0
53,2018-03-18,0,0,0,0
53,2018-03-19,0,0,0,0
53,2018-03-20,0,0,0,0
53,2018-03-21,0,0,0,0
53,2018-03-22,0,0,0,0
53,2018-03-23,0,0,0,0
53,2018-03-25,0,0,0,0
53,2018-03-26,0,0,0,0
53,2018-03-27,0,0,0,0
53,2018-03-28,0,0,0,0
53,2018-03-29,0,0,0,0
53,2018-03-30,0,0,0,0
53,2018-04-01,0,0,0,0
53,2018-04-02,0,0,0,0
53,2018-04-03,0,0,0,0
53,2018-04-04,0,0,0,0
53,2018-04-05,0,0,0,0
53,2018-04-08,0,0,0,0
53,2018-04-09,0,0,0,0
53,2018-04-10,0,0,0,0
53,2018-04-11,0,0,0,0
53,2018-04-12,4,0,0,0
53,2018-04-13,0,0,0,0
53,2018-04-15,0,0,0,0
53,2018-05-16,7,0,0,0
53,2018-05-17,8,0,0,0
53,2018-05-18,0,0,0,0
53,2018-05-19,9,0,0,0
53,2018-05-22,9,0,0,0
53,2018-05-23,8,0,0,0
53,2018-05-24,5,0,0,0
53,2018-05-25,6,0,0,0
53,2018-05-28,4,0,2,0
53,2018-05-29,0,0,1,0
53,2018-05-30,0,0,1,0
53,2018-05-31,0,0,1,0
53,2018-06-01,0,0,1,0
53,2018-06-02,0,0,1,0
53,2018-06-04,0,0,0,0
53,2018-06-05,0,0,0,0
53,2018-06-06,0,0,1,0
53,2018-06-07,0,0,1,0
53,2018-06-08,0,0,0,0
53,2018-06-11,0,0,1,0
53,2018-06-12,0,0,1,0
53,2018-06-13,0,0,0,0
53,2018-06-14,0,0,1,0
53,2018-06-15,0,0,1,0
53,2018-06-16,0,0,1,0
53,2018-06-18,0,0,1,0
53,2018-06-19,0,0,1,0
53,2018-06-20,0,0,1,0
53,2018-06-21,0,0,1,0
53,2018-06-22,0,0,1,0
53,2018-06-23,0,0,0,0
53,2018-06-25,0,0,1,0
53,2018-06-26,0,0,1,0
53,2018-06-27,0,0,0,0
53,2018-06-28,0,0,0,0
53,2018-06-29,0,0,0,2
53,2018-06-30,0,0,0,0
53,2018-07-02,0,0,0,0
53,2018-07-03,0,0,0,0
53,2018-07-05,0,0,0,0
53,2018-07-06,0,0,0,0
53,2018-07-07,0,0,0,0
53,2018-07-09,0,0,0,0
53,2018-07-10,0,0,0,0
53,2018-07-11,0,0,0,0
53,2018-07-12,0,0,0,0
53,2018-07-17,0,0,0,0
53,2018-07-23,0,0,0,0
53,2019-04-09,0,0,0,0
53,2019-04-10,0,0,0,0
53,2019-04-11,0,0,0,0
53,2019-04-12,0,0,0,0
53,2019-04-13,0,0,0,0
53,2019-04-15,0,0,0,0
53,2019-04-16,0,0,0,0
53,2019-04-17,0,0,0,0
53,2019-04-18,0,0,0,0
53,2019-04-19,0,0,0,0
53,2019-04-20,0,0,0,0
53,2019-04-22,0,0,0,0
53,2019-04-23,0,0,0,0
53,2019-04-25,0,0,0,0
53,2019-04-26,0,0,0,0
53,2019-04-27,0,0,0,0
53,2019-04-29,0,0,0,0
53,2019-04-30,0,0,0,0
53,2019-05-01,0,0,0,0
53,2019-05-02,0,0,0,0
53,2019-05-03,0,0,0,0
53,2019-05-04,0,0,0,0
53,2019-05-06,0,0,0,0
53,2019-05-07,0,0,0,0
53,2019-05-08,0,0,0,0
53,2019-05-09,0,0,0,0
53,2019-05-10,0,0,0,0
53,2019-05-11,2,0,0,0
53,2019-05-13,1,0,0,0
53,2019-05-14,2,0,0,0
53,2019-05-15,10,0,0,0
53,2019-05-16,6,0,0,0
53,2019-05-17,14,0,0,0
53,2019-05-18,23,0,0,0
53,2019-05-20,27,0,0,0
53,2019-05-21,20,0,0,0
53,2019-05-22,38,0,0,0
53,2019-05-23,22,0,0,0
53,2019-05-24,33,0,0,0
53,2019-05-25,29,1,0,0
53,2019-05-28,40,1,0,0
53,2019-05-29,44,2,0,0
53,2019-05-30,40,0,0,0
53,2019-05-31,40,0,0,0
53,2019-06-01,55,2,0,0
53,2019-06-03,39,3,1,0
53,2019-06-04,30,7,0,0
53,2019-06-05,37,5,2,0
53,2019-06-06,32,1,8,0
53,2019-06-07,18,5,3,0
53,2019-06-08,20,3,6,0
53,2019-06-10,18,1,13,0
53,2019-06-11,9,1,2,0
53,2019-06-12,11,2,13,2
53,2019-06-13,6,2,10,0
53,2019-06-14,9,1,5,0
53,2019-06-15,4,1,3,1
53,2019-06-17,1,0,11,0
53,2019-06-18,1,0,12,1
53,2019-06-19,0,0,9,0
53,2019-06-20,1,0,14,0
53,2019-06-21,0,0,11,0
53,2019-06-22,1,0,13,0
53,2019-06-24,4,0,7,0
53,2019-06-25,3,0,11,0
53,2019-06-28,1,0,3,1
53,2019-06-29,0,0,5,2
53,2019-07-01,1,0,11,4
53,2019-07-02,0,1,9,3
53,2019-07-03,1,0,3,6
53,2019-07-04,0,0,2,5
53,2019-07-05,0,0,2,3
53,2019-07-06,0,0,2,1
53,2019-07-08,0,0,0,1
53,2019-07-09,0,0,0,0
53,2019-07-10,0,0,0,0
53,2019-07-11,0,0,0,0
53,2019-07-12,1,0,0,0
53,2019-07-13,0,0,0,0
53,2019-07-15,1,0,0,0
53,2019-07-16,0,0,0,0
53,2019-07-18,1,0,0,0
53,2019-07-19,0,0,0,0
53,2019-07-22,0,0,0,0
53,2019-07-24,0,0,0,0
53,2019-07-26,0,0,0,0
53,2019-07-27,0,0,0,0
53,2019-07-30,0,0,0,0
53,2019-08-01,0,0,0,0
53,2019-08-02,0,0,0,0
53,2020-04-06,0,0,0,0
53,2020-04-07,0,0,0,0
53,2020-04-08,0,0,0,0
53,2020-04-09,0,0,0,0
