saguaro_number,date,buds,flowers,green_fruit,red_fruit
14,2017-04-19,0,0,0,1
14,2017-04-20,1,0,0,1
14,2017-04-24,13,0,1,0
14,2017-04-25,12,0,0,0
14,2017-04-28,33,0,0,0
14,2017-04-29,27,0,0,0
14,2017-05-01,34,0,0,0
14,2017-05-02,38,0,0,0
14,2017-05-03,39,0,0,0
14,2017-05-06,66,0,0,0
14,2017-05-09,74,0,0,0
14,2017-05-10,76,0,0,0
14,2017-05-11,76,0,1,0
14,2017-05-12,85,0,0,0
14,2017-05-13,77,4,0,0
14,2017-05-15,78,2,0,0
14,2017-05-16,68,4,0,0
14,2017-05-17,37,2,3,0
14,2017-05-18,58,5,1,0
14,2017-05-19,63,4,1,0
14,2017-05-20,56,8,0,0
14,2017-05-23,65,4,10,0
14,2017-05-24,59,6,12,0
14,2017-05-25,46,7,16,0
14,2017-05-26,46,9,10,0
14,2017-05-27,38,8,17,0
14,2017-05-29,28,9,22,0
14,2017-06-01,18,4,30,0
14,2017-06-02,12,3,38,0
14,2017-06-03,15,1,49,0
14,2017-06-06,8,0,52,0
14,2017-06-07,6,0,56,0
14,2017-06-08,2,3,53,0
14,2017-06-09,6,1,47,0
14,2017-06-10,2,1,45,0
14,2017-06-12,0,0,55,0
14,2017-06-13,1,0,61,0
14,2017-06-14,2,0,49,0
14,2017-06-15,1,0,54,2
14,2017-06-16,0,1,53,0
14,2017-06-17,1,0,45,0
14,2017-06-19,0,0,49,6
14,2017-06-20,0,0,50,10
14,2017-06-21,0,0,44,4
14,2017-06-22,0,0,49,6
14,2017-06-23,0,0,44,3
14,2017-06-24,0,0,47,12
14,2017-06-26,0,0,24,13
14,2017-06-27,0,0,18,17
14,2017-06-28,0,0,16,16
14,2017-06-29,0,0,15,10
14,2017-07-06,0,0,4,3
14,2017-07-08,0,0,0,5
14,2017-07-12,0,0,0,0
14,2017-07-14,0,0,0,0
14,2018-03-06,0,0,0,0
14,2018-03-07,0,0,0,0
14,2018-03-08,0,0,0,0
14,2018-03-11,0,0,1,0
14,2018-03-12,0,0,0,0
14,2018-03-13,0,0,0,0
14,2018-03-14,0,0,0,0
14,2018-03-15,0,0,0,0
14,2018-03-16,0,0,0,0
14,2018-03-18,0,0,0,0
14,2018-03-19,0,0,0,0
14,2018-03-20,0,0,0,0
14,2018-03-21,0,0,0,0
14,2018-03-22,0,0,0,0
14,2018-03-23,0,0,0,0
14,2018-03-25,0,0,0,0
14,2018-03-26,1,0,0,0
14,2018-03-27,4,0,0,0
14,2018-03-28,1,0,0,0
14,2018-03-29,8,0,0,0
14,2018-03-30,5,0,0,0
14,2018-04-01,9,0,0,0
14,2018-04-02,9,0,0,0
14,2018-04-03,15,0,0,0
14,2018-04-04,10,0,0,0
14,2018-04-05,17,0,0,0
14,2018-04-08,16,0,0,0
14,2018-04-09,20,0,0,0
14,2018-04-10,31,0,0,0
14,2018-04-11,12,0,0,0
14,2018-04-12,39,1,0,0
14,2018-04-13,40,1,0,0
14,2018-04-15,46,4,0,0
14,2018-05-16,46,0,0,0
14,2018-05-17,48,0,0,0
14,2018-05-18,45,0,1,0
14,2018-05-19,39,1,0,0
14,2018-05-21,36,2,0,0
14,2018-05-22,36,5,1,0
14,2018-05-23,35,1,0,0
14,2018-05-24,30,0,0,0
14,2018-05-25,26,4,0,0
14,2018-05-26,21,6,1,0
14,2018-05-28,13,7,2,0
14,2018-05-29,15,4,2,0
14,2018-05-30,3,4,6,0
14,2018-05-31,5,2,8,0
14,2018-06-01,1,0,12,0
14,2018-06-02,2,1,7,0
14,2018-06-04,0,0,7,0
14,2018-06-05,0,0,7,0
14,2018-06-06,0,0,0,0
14,2018-06-07,0,0,9,0
14,2018-06-08,0,0,6,0
14,2018-06-11,0,0,6,0
14,2018-06-12,0,0,7,0
14,2018-06-13,0,0,7,0
14,2018-06-14,0,0,8,0
14,2018-06-15,0,0,6,0
14,2018-06-16,0,0,0,0
14,2018-06-18,0,0,8,2
14,2018-06-19,1,0,6,1
14,2018-06-20,2,0,5,1
14,2018-06-21,2,0,6,0
14,2018-06-22,4,0,6,0
14,2018-06-23,5,0,8,0
14,2018-06-25,5,0,2,4
14,2018-06-26,5,0,2,3
14,2018-06-27,6,0,2,3
14,2018-06-28,7,1,0,3
14,2018-06-29,5,1,0,1
14,2018-06-30,5,0,1,0
14,2018-07-02,5,0,0,0
14,2018-07-03,3,4,0,0
14,2018-07-05,2,1,1,0
14,2018-07-06,3,1,0,0
14,2018-07-07,3,0,1,0
14,2018-07-09,1,1,1,0
14,2018-07-10,1,1,1,0
14,2018-07-11,2,0,1,0
14,2018-07-12,3,0,1,0
14,2018-07-16,0,0,1,0
14,2018-07-17,0,0,1,0
14,2018-07-23,0,0,0,0
14,2019-04-09,0,0,0,0
14,2019-04-10,0,0,0,0
14,2019-04-11,0,0,0,0
14,2019-04-13,0,0,0,0
14,2019-04-15,0,0,0,0
14,2019-04-16,0,0,0,0
14,2019-04-17,0,0,0,0
14,2019-04-18,0,0,0,0
14,2019-04-19,0,0,0,0
14,2019-04-20,0,0,0,0
14,2019-04-22,0,0,0,0
14,2019-04-23,0,0,0,0
14,2019-04-25,0,0,0,0
14,2019-04-26,0,0,0,0
14,2019-04-27,0,0,0,0
14,2019-04-29,0,0,0,0
14,2019-04-30,0,0,0,0
14,2019-05-01,0,0,0,0
14,2019-05-02,0,0,0,0
14,2019-05-03,0,0,0,0
14,2019-05-04,0,0,0,0
14,2019-05-06,1,0,0,0
14,2019-05-07,11,0,0,0
14,2019-05-08,0,0,0,0
14,2019-05-09,1,0,0,0
14,2019-05-10,3,0,0,0
14,2019-05-11,23,0,0,0
14,2019-05-13,21,0,0,0
14,2019-05-14,34,0,0,0
14,2019-05-15,52,0,0,0
14,2019-05-16,66,0,0,0
14,2019-05-17,49,0,0,0
14,2019-05-18,84,0,0,0
14,2019-05-20,91,0,0,0
14,2019-05-21,78,0,0,0
14,2019-05-22,91,0,0,0
14,2019-05-23,87,0,0,0
14,2019-05-24,86,0,0,0
14,2019-05-25,71,0,0,0
14,2019-05-27,88,0,0,0
14,2019-05-28,106,1,0,0
14,2019-05-29,98,0,0,0
14,2019-05-30,97,2,0,0
14,2019-05-31,78,3,1,0
14,2019-06-01,81,4,0,0
14,2019-06-03,62,7,0,0
14,2019-06-04,61,5,3,0
14,2019-06-05,62,7,4,0
14,2019-06-06,46,12,4,0
14,2019-06-07,42,12,7,0
14,2019-06-08,48,8,11,0
14,2019-06-10,31,4,20,0
14,2019-06-11,17,9,24,0
14,2019-06-12,22,6,18,0
14,2019-06-13,9,4,26,0
14,2019-06-14,10,1,28,0
14,2019-06-15,2,1,10,0
14,2019-06-17,4,0,27,0
14,2019-06-18,1,0,35,0
14,2019-06-19,0,1,28,0
14,2019-06-20,4,1,25,0
14,2019-06-21,0,0,29,0
14,2019-06-22,0,0,32,0
14,2019-06-24,0,0,30,0
14,2019-06-25,0,0,29,0
14,2019-06-28,0,0,24,0
14,2019-06-29,0,0,29,0
14,2019-07-01,0,0,32,1
14,2019-07-02,0,0,26,3
14,2019-07-03,0,0,20,7
14,2019-07-04,0,0,15,6
14,2019-07-05,0,0,14,7
14,2019-07-06,0,0,11,13
14,2019-07-08,0,0,8,8
14,2019-07-09,0,0,8,7
14,2019-07-10,0,0,7,2
14,2019-07-11,1,0,4,5
14,2019-07-12,0,0,2,5
14,2019-07-13,0,0,2,0
14,2019-07-15,0,0,1,0
14,2019-07-16,0,0,1,0
14,2019-07-18,0,0,0,1
14,2019-07-19,0,0,0,0
14,2019-07-22,0,0,0,0
14,2019-07-24,0,0,0,0
14,2019-07-26,0,0,0,0
14,2019-07-27,0,0,0,0
14,2019-07-30,0,0,0,0
14,2019-08-01,0,0,0,0
14,2019-08-02,0,0,0,0
14,2020-04-06,0,0,0,0
14,2020-04-07,0,0,0,0
14,2020-04-08,0,0,0,0
14,2020-04-09,0,0,0,0
14,2020-04-10,0,0,0,0
14,2020-04-11,0,0,0,0
14,2020-04-12,0,0,0,0
14,2020-04-13,0,0,0,0
14,2020-04-14,0,0,0,0
14,2020-04-15,0,0,0,0
14,2020-04-16,0,0,0,0
14,2020-04-17,0,0,0,0
14,2020-04-18,0,0,0,0
