saguaro_number,date,buds,flowers,green_fruit,red_fruit
10,2017-04-19,0,0,0,0
10,2017-04-20,0,0,0,0
10,2017-04-24,0,0,0,0
10,2017-04-25,0,0,0,0
10,2017-04-28,5,0,0,0
10,2017-04-29,1,0,0,0
10,2017-05-01,2,0,0,0
10,2017-05-02,2,0,0,0
10,2017-05-03,4,0,0,0
10,2017-05-09,10,0,0,0
10,2017-05-10,15,0,0,0
10,2017-05-11,24,0,0,0
10,2017-05-12,24,0,0,0
10,2017-05-13,22,0,0,0
10,2017-05-15,26,0,0,0
10,2017-05-16,24,0,0,0
10,2017-05-17,24,1,0,0
10,2017-05-18,21,2,0,0
10,2017-05-19,22,1,0,0
10,2017-05-20,20,0,0,0
10,2017-05-23,15,1,2,0
10,2017-05-24,16,1,2,0
10,2017-05-25,12,0,2,0
10,2017-05-26,13,2,3,0
10,2017-05-27,14,4,2,0
10,2017-05-29,13,1,4,0
10,2017-06-01,2,0,10,0
10,2017-06-02,1,0,9,0
10,2017-06-03,0,0,8,0
10,2017-06-06,0,0,6,0
10,2017-06-07,0,0,6,1
10,2017-06-08,0,0,8,0
10,2017-06-09,0,0,7,0
10,2017-06-10,0,0,7,0
10,2017-06-12,0,0,8,0
10,2017-06-13,0,0,7,0
10,2017-06-14,0,0,7,0
10,2017-06-15,0,0,8,0
10,2017-06-16,0,0,8,0
10,2017-06-17,0,0,9,0
10,2017-06-19,0,0,7,0
10,2017-06-20,0,0,9,0
10,2017-06-21,0,0,7,0
10,2017-06-22,1,0,7,0
10,2017-06-23,0,0,7,0
10,2017-06-24,0,0,7,0
10,2017-06-26,1,0,6,2
10,2017-06-27,0,0,5,1
10,2017-06-28,0,0,5,2
10,2017-06-29,0,0,5,4
10,2017-07-06,0,0,0,0
10,2017-07-08,0,0,0,0
10,2017-07-12,0,0,0,0
10,2017-07-14,0,0,0,0
10,2018-03-06,0,0,0,0
10,2018-03-07,0,0,0,0
10,2018-03-08,0,0,0,0
10,2018-03-11,0,0,0,0
10,2018-03-12,0,0,0,0
10,2018-03-13,0,0,0,0
10,2018-03-14,0,0,0,0
10,2018-03-15,0,0,0,0
10,2018-03-16,0,0,0,0
10,2018-03-18,0,0,0,0
10,2018-03-19,0,0,0,0
10,2018-03-20,0,0,0,0
10,2018-03-21,1,0,0,0
10,2018-03-22,0,0,0,0
10,2018-03-23,0,0,0,0
10,2018-03-25,0,0,0,0
10,2018-03-26,0,0,0,0
10,2018-03-27,1,0,0,0
10,2018-03-28,5,0,0,0
10,2018-03-29,4,0,0,0
10,2018-03-30,6,0,0,0
10,2018-04-01,7,0,1,0
10,2018-04-02,10,0,0,0
10,2018-04-03,9,0,0,0
10,2018-04-04,10,0,0,0
10,2018-04-05,19,0,0,0
10,2018-04-08,19,0,0,0
10,2018-04-09,18,0,0,0
10,2018-04-10,22,2,0,0
10,2018-04-11,20,1,0,0
10,2018-04-12,29,0,0,0
10,2018-04-13,26,0,0,0
10,2018-04-15,31,1,0,0
10,2018-05-16,40,0,0,0
10,2018-05-17,36,1,2,0
10,2018-05-18,20,5,0,0
10,2018-05-19,32,8,0,0
10,2018-05-21,26,1,4,0
10,2018-05-22,25,2,9,0
10,2018-05-23,22,2,2,0
10,2018-05-24,19,2,3,0
10,2018-05-25,23,0,7,0
10,2018-05-26,22,1,5,0
10,2018-05-28,15,4,10,0
10,2018-05-29,14,6,10,0
10,2018-05-30,12,4,10,0
10,2018-05-31,5,1,1,0
10,2018-06-01,10,2,9,0
10,2018-06-02,5,1,17,0
10,2018-06-04,3,1,16,0
10,2018-06-05,0,2,17,0
10,2018-06-06,2,1,22,0
10,2018-06-07,0,0,18,0
10,2018-06-08,0,0,20,0
10,2018-06-11,0,0,19,0
10,2018-06-12,0,0,15,1
10,2018-06-13,0,0,21,0
10,2018-06-14,0,0,18,0
10,2018-06-15,0,0,19,0
10,2018-06-16,0,0,14,0
10,2018-06-18,0,0,15,0
10,2018-06-19,0,0,18,0
10,2018-06-20,0,0,16,1
10,2018-06-21,0,0,21,0
10,2018-06-22,0,0,17,0
10,2018-06-23,0,0,13,3
10,2018-06-25,0,0,12,5
10,2018-06-26,0,0,9,8
10,2018-06-27,0,0,10,6
