saguaro_number,date,buds,flowers,green_fruit,red_fruit
48,2017-04-18,17,0,0,0
48,2017-04-19,21,0,0,0
48,2017-04-20,19,0,1,0
48,2017-04-21,21,0,0,0
48,2017-04-24,26,0,0,0
48,2017-04-25,40,0,0,0
48,2017-04-28,47,0,0,0
48,2017-04-29,43,0,0,0
48,2017-05-01,49,1,0,0
48,2017-05-02,4,0,0,0
48,2017-05-03,46,1,1,0
48,2017-05-04,45,2,2,0
48,2017-05-05,48,0,3,0
48,2017-05-08,39,3,1,0
48,2017-05-09,40,1,1,0
48,2017-05-10,39,2,1,0
48,2017-05-11,30,5,2,0
48,2017-05-12,43,1,3,0
48,2017-05-15,34,5,1,0
48,2017-05-16,33,5,2,0
48,2017-05-17,33,5,3,0
48,2017-05-18,30,7,5,0
48,2017-05-19,29,6,6,0
48,2017-05-20,23,8,6,0
48,2017-05-23,13,7,16,0
48,2017-05-24,15,4,20,0
48,2017-05-25,10,5,20,0
48,2017-05-26,7,6,25,0
48,2017-05-27,6,1,24,0
48,2017-05-29,2,1,34,0
48,2017-06-01,1,1,35,0
48,2017-06-02,1,0,35,0
48,2017-06-03,0,0,35,0
48,2017-06-05,2,0,37,0
48,2017-06-06,0,0,34,0
48,2017-06-07,0,0,32,0
48,2017-06-08,0,0,35,0
48,2017-06-09,0,1,32,2
48,2017-06-10,0,0,33,1
48,2017-06-12,0,0,33,0
48,2017-06-13,0,0,30,0
48,2017-06-14,0,0,35,1
48,2017-06-15,0,0,31,1
48,2017-06-16,0,0,30,1
48,2017-06-17,1,0,30,0
48,2017-06-19,0,0,29,2
48,2017-06-20,1,0,22,1
48,2017-06-21,0,0,20,5
48,2017-06-22,0,0,19,2
48,2017-06-23,0,0,16,2
48,2017-06-24,0,0,14,4
48,2017-06-26,1,0,10,6
48,2017-06-27,0,0,7,5
48,2017-06-28,0,0,7,4
48,2017-06-29,0,0,5,3
48,2017-07-01,0,0,1,3
48,2017-07-06,0,0,0,1
48,2017-07-08,0,0,0,0
48,2017-07-10,0,0,0,0
48,2017-07-12,0,0,0,0
48,2017-07-14,0,0,0,0
48,2018-03-06,0,0,0,0
48,2018-03-07,0,0,0,0
48,2018-03-08,0,0,0,1
48,2018-03-11,0,0,0,0
48,2018-03-12,0,0,0,0
48,2018-03-13,0,0,0,0
48,2018-03-14,0,0,0,0
